User_ID,Signup_Date,Subscription_Plan,Monthly_Fee,Country,Device_Type,Last_Login_Date,Status,Total_Logins,Revenue
U00024,21-03-2024,Basic,499,Singapore,Mobile,08-04-2024,Active,199,8982
U00025,11-05-2024,Premium,999,Singapore,Tablet,23-06-2024,Churned,72,16983
U00026,09-03-2025,Enterprise,1999,UK,Laptop,02-09-2025,Churned,56,45977
U00027,18-11-2025,Premium,999,USA,Mobile,31-03-2026,Active,120,3996
U00028,06-03-2024,Basic,499,India,Mobile,04-05-2024,Active,155,3992
U00029,08-10-2025,Basic,499,India,Tablet,17-10-2025,Active,225,5489
U00030,31-08-2024,Basic,499,Germany,Tablet,17-01-2025,Active,38,11976
U00031,29-04-2025,Basic,499,India,Tablet,12-08-2025,Active,53,1996
U00032,17-03-2025,Basic,499,Australia,Mobile,31-03-2025,Active,177,10479
U00033,03-03-2024,Basic,499,USA,Tablet,31-03-2024,Active,68,3493
U00034,04-04-2025,Basic,499,Canada,Tablet,01-08-2025,Active,68,1497
U00035,10-04-2024,Basic,499,USA,Laptop,14-04-2024,Churned,28,3992
U00036,12-05-2025,Basic,499,India,Laptop,28-05-2025,Churned,47,6487
U00037,28-09-2024,Enterprise,1999,Australia,Tablet,11-12-2024,Churned,113,45977
U00038,08-11-2025,Premium,999,Germany,Tablet,23-01-2026,Active,60,1998
U00039,09-07-2025,Basic,499,Germany,Tablet,22-07-2025,Active,154,7984
U00040,10-06-2024,Basic,499,India,Tablet,28-07-2024,Active,22,9980
U00041,28-08-2024,Basic,499,Germany,Mobile,21-01-2025,Churned,68,9481
U00042,26-09-2025,Basic,499,UK,Mobile,18-02-2026,Active,138,5489
U00043,16-11-2025,Premium,999,Australia,Laptop,26-02-2026,Active,38,21978
U00044,13-04-2025,Basic,499,Germany,Tablet,02-05-2025,Active,7,7485
U00045,12-04-2024,Basic,499,India,Mobile,19-06-2024,Active,38,5988
U00046,13-01-2025,Basic,499,Germany,Tablet,02-06-2025,Active,185,4990
U00047,25-06-2025,Basic,499,India,Mobile,10-09-2025,Churned,243,10978
U00048,27-09-2024,Basic,499,UK,Tablet,16-02-2025,Active,44,4491
U00049,03-08-2024,Premium,999,Germany,Laptop,13-01-2025,Active,223,8991
U00050,14-09-2024,Enterprise,1999,Singapore,Laptop,08-10-2024,Churned,167,27986
U00051,15-02-2024,Basic,499,Australia,Laptop,28-07-2024,Active,72,2994
U00052,18-07-2025,Premium,999,USA,Tablet,16-08-2025,Active,24,22977
U00053,06-02-2024,Premium,999,India,Laptop,15-03-2024,Active,115,4995
U00054,08-01-2025,Premium,999,USA,Tablet,19-01-2025,Churned,235,11988
U00055,12-09-2024,Premium,999,Germany,Tablet,03-02-2025,Active,231,13986
U00056,07-06-2024,Enterprise,1999,Canada,Mobile,19-07-2024,Active,209,11994
U00057,02-07-2024,Premium,999,Singapore,Tablet,16-10-2024,Active,210,21978
U00058,11-09-2024,Basic,499,Singapore,Laptop,09-10-2024,Churned,102,998
U00059,15-08-2024,Basic,499,USA,Mobile,13-11-2024,Churned,83,3992
U00060,06-11-2025,Basic,499,UK,Tablet,24-11-2025,Active,202,4491
U00061,05-06-2025,Basic,499,India,Laptop,21-10-2025,Churned,89,499
U00062,01-07-2024,Basic,499,Canada,Laptop,11-07-2024,Churned,32,9980
U00063,17-11-2024,Basic,499,USA,Laptop,17-12-2024,Churned,103,9481
U00064,15-02-2024,Premium,999,Australia,Tablet,02-07-2024,Active,180,23976
U00065,17-11-2025,Basic,499,Germany,Laptop,07-05-2026,Active,240,5489
U00066,10-11-2025,Premium,999,Australia,Laptop,26-01-2026,Active,134,9990
U00067,30-11-2024,Basic,499,Australia,Laptop,02-01-2025,Active,54,6986
U00068,24-11-2025,Premium,999,Germany,Mobile,19-04-2026,Active,82,12987
U00069,07-11-2024,Basic,499,UK,Laptop,05-04-2025,Active,160,10479
U00070,28-03-2025,Basic,499,USA,Tablet,28-07-2025,Active,208,11976
U00071,27-03-2024,Basic,499,Singapore,Mobile,02-09-2024,Active,90,1497
U00072,19-11-2025,Basic,499,USA,Laptop,27-12-2025,Churned,11,998
U00073,17-09-2025,Premium,999,Germany,Mobile,02-01-2026,Active,231,20979
U00074,28-01-2025,Basic,499,Singapore,Mobile,15-07-2025,Active,181,499
U00075,11-03-2025,Basic,499,India,Tablet,06-09-2025,Churned,137,7485
U00076,12-09-2024,Enterprise,1999,Australia,Tablet,17-10-2024,Active,210,29985
U00077,26-07-2025,Basic,499,Germany,Laptop,17-11-2025,Churned,161,11976
U00078,15-07-2025,Basic,499,Singapore,Mobile,14-11-2025,Active,120,4491
U00079,14-10-2025,Basic,499,UK,Laptop,16-02-2026,Active,165,3992
U00080,20-03-2024,Premium,999,India,Mobile,14-06-2024,Active,86,17982
U00081,03-06-2024,Basic,499,Canada,Laptop,28-07-2024,Active,21,6986
U00082,09-07-2025,Basic,499,Australia,Mobile,25-10-2025,Active,104,9481
U00083,12-08-2025,Basic,499,Singapore,Laptop,11-11-2025,Active,81,6487
U00084,05-07-2025,Premium,999,Canada,Mobile,07-12-2025,Active,234,7992
U00085,06-10-2024,Basic,499,Singapore,Laptop,01-01-2025,Active,176,10978
U00086,18-06-2024,Premium,999,Canada,Tablet,25-11-2024,Churned,141,999
U00087,31-07-2025,Premium,999,USA,Mobile,18-11-2025,Active,39,14985
U00088,23-09-2024,Basic,499,UK,Laptop,16-12-2024,Active,91,6487
U00089,15-09-2024,Premium,999,USA,Tablet,01-02-2025,Active,18,11988
U00090,11-03-2024,Premium,999,USA,Mobile,19-03-2024,Active,248,7992
U00091,28-09-2025,Basic,499,USA,Laptop,19-03-2026,Active,34,9481
U00092,19-09-2024,Premium,999,India,Mobile,22-02-2025,Active,196,22977
U00093,14-11-2024,Basic,499,Canada,Laptop,02-02-2025,Active,152,10978
U00094,22-07-2024,Basic,499,Australia,Laptop,30-12-2024,Active,67,1996
U00095,01-12-2025,Premium,999,UK,Tablet,25-04-2026,Active,205,1998
U00096,14-03-2025,Premium,999,Singapore,Laptop,27-08-2025,Active,92,999
U00097,16-05-2025,Basic,499,Australia,Mobile,26-10-2025,Churned,233,7485
U00098,21-03-2025,Basic,499,Singapore,Tablet,04-09-2025,Active,74,9980
U00099,10-05-2025,Basic,499,Singapore,Mobile,09-10-2025,Churned,73,5489
U00100,29-03-2024,Basic,499,Australia,Laptop,26-07-2024,Active,150,9980
U00101,10-12-2024,Basic,499,UK,Laptop,26-01-2025,Churned,129,3493
U00102,14-12-2024,Basic,499,Germany,Mobile,23-02-2025,Active,147,499
U00103,28-03-2024,Basic,499,Australia,Laptop,18-08-2024,Active,199,3992
U00104,23-10-2025,Premium,999,USA,Laptop,28-10-2025,Active,28,9990
U00105,06-09-2024,Basic,499,UK,Laptop,06-01-2025,Active,146,8483
U00106,17-07-2025,Basic,499,USA,Mobile,25-09-2025,Active,83,4491
U00107,16-07-2024,Basic,499,USA,Tablet,09-01-2025,Active,52,3493
U00108,10-05-2025,Basic,499,India,Mobile,22-09-2025,Active,157,4990
U00109,30-10-2024,Basic,499,USA,Laptop,03-11-2024,Active,186,8982
U00110,16-02-2024,Enterprise,1999,Australia,Laptop,13-08-2024,Active,246,9995
U00111,15-04-2024,Premium,999,UK,Mobile,14-08-2024,Active,127,14985
U00112,22-02-2024,Basic,499,Canada,Laptop,23-03-2024,Churned,215,1497
U00113,16-03-2024,Basic,499,UK,Mobile,24-04-2024,Active,43,9481
U00114,11-09-2024,Basic,499,USA,Tablet,14-02-2025,Active,157,9980
U00115,24-01-2025,Basic,499,Germany,Tablet,24-06-2025,Active,114,4990
U00116,02-03-2024,Premium,999,UK,Tablet,25-04-2024,Active,165,6993
U00117,24-03-2024,Basic,499,Canada,Laptop,13-04-2024,Active,45,499
U00118,31-08-2025,Basic,499,Australia,Laptop,13-11-2025,Active,185,4990
U00119,13-03-2024,Premium,999,Singapore,Mobile,21-08-2024,Churned,155,21978
U00120,11-03-2025,Basic,499,Singapore,Mobile,19-04-2025,Active,237,4491
U00121,14-03-2024,Basic,499,UK,Laptop,14-08-2024,Churned,196,9481
U00122,07-05-2024,Basic,499,Germany,Tablet,19-08-2024,Active,246,4491
U00123,20-05-2025,Basic,499,Germany,Laptop,08-09-2025,Active,193,5489
U00124,27-01-2024,Basic,499,Singapore,Tablet,23-06-2024,Churned,155,499
U00125,02-10-2024,Basic,499,Australia,Laptop,16-11-2024,Active,125,8483
U00126,11-10-2024,Basic,499,India,Laptop,23-03-2025,Active,213,7984
U00127,22-12-2024,Basic,499,UK,Laptop,18-01-2025,Active,224,2994
U00128,22-05-2025,Basic,499,India,Laptop,10-10-2025,Churned,14,7485
U00129,15-09-2024,Basic,499,Singapore,Mobile,28-12-2024,Churned,226,8483
U00130,04-11-2025,Premium,999,UK,Tablet,18-11-2025,Active,53,16983
U00131,25-05-2025,Premium,999,USA,Laptop,17-07-2025,Active,73,17982
U00132,24-03-2025,Premium,999,Singapore,Mobile,01-04-2025,Active,166,19980
U00133,11-06-2024,Basic,499,Singapore,Mobile,24-09-2024,Active,28,3992
U00134,17-04-2025,Enterprise,1999,UK,Tablet,27-05-2025,Active,132,45977
U00135,06-10-2024,Basic,499,Germany,Mobile,04-02-2025,Active,67,7485
U00136,27-01-2025,Basic,499,UK,Laptop,03-03-2025,Active,226,1497
U00137,14-12-2024,Enterprise,1999,UK,Tablet,15-12-2024,Active,77,47976
U00138,16-08-2025,Enterprise,1999,Canada,Laptop,24-09-2025,Active,119,35982
U00139,06-12-2024,Basic,499,Singapore,Mobile,02-04-2025,Active,243,5489
U00140,01-09-2024,Basic,499,Australia,Laptop,16-12-2024,Active,16,5489
U00141,25-01-2025,Basic,499,India,Mobile,11-07-2025,Active,43,7984
U00142,29-05-2025,Enterprise,1999,India,Tablet,24-06-2025,Active,228,29985
U00143,12-04-2025,Basic,499,Canada,Laptop,27-09-2025,Active,44,1497
U00144,12-12-2024,Premium,999,Singapore,Tablet,02-01-2025,Active,223,10989
U00145,30-06-2025,Basic,499,India,Tablet,02-11-2025,Active,228,8982
U00146,11-03-2024,Basic,499,India,Laptop,24-05-2024,Active,63,11976
U00147,10-04-2024,Premium,999,Australia,Laptop,06-05-2024,Active,118,5994
U00148,30-01-2024,Basic,499,Canada,Mobile,15-04-2024,Churned,96,5988
U00149,07-09-2024,Basic,499,India,Tablet,24-10-2024,Active,48,2994
U00150,26-01-2025,Premium,999,Canada,Tablet,25-06-2025,Active,41,7992
U00151,17-09-2024,Basic,499,Australia,Tablet,15-01-2025,Active,235,4990
U00152,10-06-2024,Basic,499,Canada,Tablet,08-11-2024,Churned,81,10479
U00153,13-09-2024,Basic,499,India,Mobile,21-12-2024,Active,223,7984
U00154,25-01-2025,Basic,499,Singapore,Tablet,24-07-2025,Active,80,499
U00155,09-02-2025,Basic,499,India,Tablet,04-08-2025,Active,204,11976
U00156,23-05-2025,Premium,999,USA,Tablet,21-07-2025,Churned,160,11988
U00157,13-07-2024,Premium,999,Australia,Mobile,29-12-2024,Active,179,4995
U00158,04-10-2025,Premium,999,UK,Tablet,25-01-2026,Active,13,18981
U00159,14-05-2024,Basic,499,USA,Tablet,29-08-2024,Active,49,3493
U00160,09-01-2025,Basic,499,Singapore,Laptop,21-02-2025,Churned,70,7984
U00161,12-12-2024,Premium,999,Singapore,Tablet,01-01-2025,Active,41,7992
U00162,21-11-2025,Enterprise,1999,Singapore,Laptop,13-04-2026,Churned,98,5997
U00163,15-01-2024,Basic,499,Australia,Laptop,19-04-2024,Active,177,11976
U00164,21-08-2025,Basic,499,USA,Laptop,25-11-2025,Active,32,10978
U00165,26-01-2024,Premium,999,USA,Tablet,19-04-2024,Churned,239,19980
U00166,05-03-2024,Premium,999,Canada,Mobile,01-09-2024,Active,82,20979
U00167,23-05-2024,Basic,499,USA,Tablet,27-09-2024,Active,34,1996
U00168,18-05-2024,Basic,499,Canada,Tablet,13-11-2024,Active,247,8982
U00169,07-06-2024,Premium,999,UK,Mobile,11-10-2024,Active,162,13986
U00170,14-01-2025,Basic,499,India,Tablet,16-03-2025,Active,223,5988
U00171,11-01-2025,Basic,499,UK,Mobile,13-04-2025,Churned,20,6487
U00172,05-05-2024,Enterprise,1999,Australia,Tablet,29-05-2024,Churned,174,13993
U00173,03-09-2025,Enterprise,1999,Singapore,Tablet,28-11-2025,Active,67,9995
U00174,29-07-2024,Basic,499,Singapore,Mobile,21-09-2024,Active,155,3493
U00175,02-12-2024,Premium,999,Singapore,Mobile,04-05-2025,Churned,5,8991
U00176,13-05-2024,Basic,499,USA,Mobile,11-06-2024,Churned,174,499
U00177,01-01-2025,Premium,999,UK,Mobile,25-03-2025,Active,9,5994
U00178,09-05-2024,Premium,999,Singapore,Laptop,26-05-2024,Active,126,14985
U00179,09-06-2025,Basic,499,India,Tablet,05-08-2025,Active,247,9980
U00180,05-11-2025,Basic,499,Singapore,Laptop,13-11-2025,Active,20,7984
U00181,12-03-2025,Premium,999,UK,Tablet,04-07-2025,Active,23,2997
U00182,31-05-2024,Basic,499,Australia,Laptop,10-11-2024,Active,154,8982
U00183,25-01-2025,Enterprise,1999,Canada,Mobile,22-05-2025,Active,134,39980
U00184,27-04-2024,Premium,999,Canada,Laptop,16-09-2024,Active,189,6993
U00185,21-08-2024,Basic,499,India,Laptop,02-12-2024,Churned,111,11976
U00186,13-03-2025,Basic,499,India,Mobile,22-04-2025,Active,180,7984
U00187,28-03-2024,Basic,499,Germany,Mobile,02-07-2024,Active,212,2495
U00188,23-08-2025,Enterprise,1999,UK,Tablet,11-02-2026,Active,36,27986
U00189,09-03-2025,Premium,999,UK,Mobile,22-05-2025,Active,158,9990
U00190,14-08-2025,Basic,499,UK,Tablet,16-12-2025,Active,62,1996
U00191,11-01-2025,Basic,499,Singapore,Tablet,10-03-2025,Active,211,6986
U00192,28-09-2025,Premium,999,Singapore,Tablet,05-10-2025,Active,160,21978
U00193,30-09-2024,Basic,499,UK,Mobile,19-12-2024,Active,240,5489
U00194,04-07-2024,Premium,999,Australia,Tablet,15-10-2024,Active,22,4995
U00195,01-02-2024,Basic,499,UK,Mobile,08-05-2024,Active,112,7485
U00196,13-01-2025,Basic,499,India,Mobile,08-06-2025,Active,157,1497
U00197,10-06-2024,Premium,999,Australia,Laptop,01-07-2024,Active,74,14985
U00198,12-05-2025,Premium,999,India,Laptop,07-07-2025,Active,198,16983
U00199,16-03-2025,Basic,499,Australia,Laptop,15-08-2025,Active,129,8483
U00200,16-02-2024,Basic,499,UK,Mobile,02-03-2024,Churned,6,3493
U00201,20-05-2024,Premium,999,Australia,Laptop,20-06-2024,Active,6,15984
U00202,28-06-2024,Basic,499,Singapore,Tablet,26-08-2024,Active,133,8982
U00203,28-12-2024,Basic,499,Canada,Mobile,08-01-2025,Churned,116,499
U00204,16-11-2024,Basic,499,India,Laptop,29-04-2025,Active,111,4990
U00205,22-01-2024,Enterprise,1999,UK,Mobile,29-06-2024,Active,122,45977
U00206,23-03-2025,Premium,999,India,Laptop,21-08-2025,Active,107,16983
U00207,13-11-2024,Premium,999,Australia,Mobile,27-12-2024,Active,24,16983
U00208,27-06-2025,Basic,499,Singapore,Tablet,25-09-2025,Churned,94,11976
U00209,31-05-2024,Basic,499,USA,Tablet,21-07-2024,Active,49,9980
U00210,18-03-2024,Basic,499,Singapore,Tablet,23-07-2024,Active,123,9481
U00211,04-04-2025,Premium,999,UK,Tablet,16-09-2025,Churned,167,19980
U00212,19-11-2024,Basic,499,Singapore,Laptop,13-03-2025,Active,166,4990
U00213,28-08-2025,Basic,499,India,Mobile,16-11-2025,Active,123,7485
U00214,12-01-2025,Premium,999,Germany,Laptop,05-02-2025,Active,162,19980
U00215,18-04-2025,Basic,499,Australia,Mobile,29-04-2025,Churned,120,9481
U00216,25-11-2024,Premium,999,Singapore,Laptop,11-12-2024,Active,120,3996
U00217,27-03-2024,Basic,499,Canada,Tablet,30-05-2024,Active,186,7485
U00218,19-06-2025,Premium,999,Singapore,Laptop,31-08-2025,Active,104,13986
U00219,26-11-2025,Basic,499,UK,Mobile,11-05-2026,Churned,90,1497
U00220,25-07-2025,Premium,999,Singapore,Mobile,10-01-2026,Active,237,19980
U00221,07-12-2024,Basic,499,Australia,Tablet,07-03-2025,Active,84,10479
U00222,05-02-2025,Basic,499,Canada,Tablet,27-02-2025,Active,84,8982
U00223,02-12-2024,Premium,999,India,Tablet,27-05-2025,Active,238,16983
U00224,17-11-2025,Basic,499,USA,Laptop,18-02-2026,Active,84,2994
U00225,12-05-2025,Basic,499,Singapore,Mobile,21-06-2025,Churned,24,4990
U00226,03-06-2025,Premium,999,UK,Tablet,16-10-2025,Churned,14,21978
U00227,14-05-2024,Basic,499,Singapore,Tablet,30-06-2024,Active,217,11477
U00228,18-06-2024,Premium,999,USA,Laptop,20-09-2024,Active,178,23976
U00229,17-09-2025,Basic,499,USA,Laptop,10-01-2026,Active,64,8982
U00230,25-04-2025,Enterprise,1999,Canada,Laptop,16-10-2025,Active,247,37981
U00231,15-10-2024,Premium,999,Singapore,Tablet,31-01-2025,Active,46,6993
U00232,21-05-2024,Premium,999,Germany,Mobile,22-09-2024,Active,228,11988
U00233,12-06-2025,Premium,999,Germany,Mobile,24-07-2025,Active,74,14985
U00234,23-03-2025,Basic,499,India,Laptop,17-07-2025,Churned,231,5988
U00235,24-02-2024,Basic,499,USA,Mobile,02-06-2024,Active,25,5988
U00236,22-11-2024,Enterprise,1999,USA,Mobile,08-05-2025,Churned,90,9995
U00237,20-10-2024,Enterprise,1999,Canada,Laptop,25-11-2024,Active,199,45977
U00238,22-09-2025,Basic,499,Germany,Tablet,27-11-2025,Active,60,2495
U00239,15-09-2025,Basic,499,India,Mobile,28-11-2025,Active,65,4990
U00240,01-09-2024,Basic,499,Singapore,Laptop,28-12-2024,Churned,21,1996
U00241,03-09-2025,Basic,499,USA,Laptop,29-01-2026,Active,66,11477
U00242,15-03-2025,Basic,499,Australia,Tablet,09-08-2025,Active,111,2994
U00243,28-03-2024,Basic,499,Singapore,Tablet,10-08-2024,Active,144,8483
U00244,21-07-2025,Basic,499,UK,Laptop,02-08-2025,Churned,167,6487
U00245,17-01-2024,Basic,499,Australia,Mobile,19-03-2024,Active,192,10978
U00246,18-08-2025,Premium,999,UK,Tablet,30-08-2025,Active,95,17982
U00247,28-06-2024,Premium,999,USA,Mobile,24-12-2024,Active,127,20979
U00248,05-03-2024,Premium,999,India,Mobile,15-03-2024,Churned,80,6993
U00249,12-02-2024,Basic,499,Canada,Laptop,24-05-2024,Active,213,8982
U00250,07-02-2024,Premium,999,Singapore,Tablet,09-05-2024,Active,225,1998
U00251,05-12-2024,Basic,499,Australia,Laptop,27-03-2025,Churned,232,6487
U00252,30-01-2025,Basic,499,Singapore,Tablet,27-07-2025,Active,132,5988
U00253,30-09-2024,Premium,999,Singapore,Mobile,21-10-2024,Active,115,19980
U00254,12-07-2025,Basic,499,UK,Laptop,04-10-2025,Active,174,4990
U00255,09-09-2025,Premium,999,India,Tablet,01-01-2026,Active,94,14985
U00256,27-12-2024,Premium,999,India,Tablet,09-06-2025,Active,207,1998
U00257,14-10-2025,Basic,499,USA,Tablet,06-04-2026,Active,45,499
U00258,25-11-2025,Premium,999,UK,Laptop,13-12-2025,Active,65,20979
U00259,27-01-2025,Enterprise,1999,UK,Laptop,08-03-2025,Active,178,29985
U00260,30-03-2025,Premium,999,UK,Tablet,13-08-2025,Active,98,12987
U00261,12-10-2024,Basic,499,Canada,Tablet,29-11-2024,Active,132,8483
U00262,30-04-2024,Basic,499,UK,Tablet,23-08-2024,Active,59,9980
U00263,17-05-2025,Basic,499,Australia,Laptop,05-06-2025,Active,120,2994
U00264,30-03-2024,Premium,999,Australia,Mobile,20-06-2024,Churned,175,11988
U00265,17-07-2025,Basic,499,Australia,Tablet,27-08-2025,Churned,187,11477
U00266,27-06-2024,Premium,999,USA,Laptop,29-07-2024,Active,56,4995
U00267,27-01-2024,Basic,499,USA,Tablet,26-05-2024,Active,210,8982
U00268,29-03-2024,Basic,499,Singapore,Laptop,30-07-2024,Active,139,6986
U00269,11-08-2025,Basic,499,Canada,Tablet,23-01-2026,Churned,23,7485
U00270,13-06-2025,Basic,499,USA,Mobile,02-11-2025,Churned,168,9481
U00271,19-03-2025,Basic,499,UK,Mobile,20-04-2025,Churned,137,2495
U00272,14-06-2024,Basic,499,UK,Mobile,11-09-2024,Active,247,8483
U00273,13-09-2024,Basic,499,UK,Tablet,23-11-2024,Churned,37,10479
U00274,30-06-2025,Basic,499,USA,Mobile,29-11-2025,Active,246,9481
U00275,05-11-2025,Premium,999,India,Mobile,31-01-2026,Churned,220,18981
U00276,24-03-2024,Basic,499,USA,Tablet,19-08-2024,Active,72,10479
U00277,02-03-2025,Premium,999,Australia,Laptop,10-08-2025,Active,144,9990
U00278,09-05-2025,Basic,499,India,Tablet,21-08-2025,Churned,81,7485
U00279,02-03-2024,Basic,499,Germany,Mobile,29-06-2024,Active,57,5489
U00280,16-11-2024,Premium,999,Singapore,Laptop,13-02-2025,Active,107,4995
U00281,11-06-2025,Basic,499,Canada,Mobile,09-10-2025,Active,36,4491
U00282,24-05-2024,Basic,499,Canada,Mobile,31-08-2024,Active,226,9980
U00283,12-06-2024,Premium,999,Canada,Tablet,01-09-2024,Churned,53,5994
U00284,23-04-2025,Basic,499,Germany,Laptop,29-04-2025,Active,28,6487
U00285,03-09-2024,Basic,499,Germany,Tablet,16-09-2024,Active,77,7984
U00286,19-11-2025,Basic,499,UK,Tablet,17-12-2025,Active,115,2495
U00287,09-01-2025,Premium,999,Germany,Mobile,22-04-2025,Active,18,18981
U00288,06-01-2025,Basic,499,UK,Tablet,16-05-2025,Active,120,8982
U00289,27-11-2025,Premium,999,Singapore,Laptop,22-12-2025,Active,105,11988
U00290,25-07-2025,Enterprise,1999,Canada,Tablet,14-09-2025,Active,159,33983
U00291,11-02-2024,Basic,499,Germany,Laptop,07-05-2024,Active,210,7984
U00292,01-06-2024,Premium,999,UK,Mobile,24-08-2024,Active,243,19980
U00293,06-02-2025,Enterprise,1999,Germany,Tablet,24-04-2025,Active,156,21989
U00294,29-06-2025,Basic,499,UK,Laptop,29-10-2025,Active,213,499
U00295,20-11-2025,Basic,499,Singapore,Tablet,07-02-2026,Active,208,11976
U00296,06-10-2025,Basic,499,Germany,Mobile,23-03-2026,Active,205,9481
U00297,22-02-2024,Basic,499,Singapore,Laptop,02-08-2024,Active,189,9980
U00298,31-05-2024,Premium,999,India,Mobile,25-10-2024,Active,247,22977
U00299,20-01-2024,Basic,499,Canada,Tablet,05-05-2024,Active,181,3493
U00300,18-09-2025,Enterprise,1999,Germany,Mobile,04-10-2025,Churned,185,9995
U00301,28-07-2025,Basic,499,USA,Laptop,10-12-2025,Active,101,5489
U00302,29-06-2025,Basic,499,UK,Tablet,21-12-2025,Active,169,11477
U00303,10-05-2025,Basic,499,UK,Laptop,30-09-2025,Active,81,3992
U00304,31-07-2024,Premium,999,Singapore,Tablet,01-12-2024,Active,94,17982
U00305,07-10-2024,Basic,499,Singapore,Laptop,24-02-2025,Active,102,6487
U00306,29-05-2024,Basic,499,Australia,Laptop,19-06-2024,Active,93,7485
U00307,05-05-2025,Basic,499,Australia,Laptop,14-07-2025,Churned,243,8982
U00308,20-05-2024,Basic,499,Australia,Tablet,21-07-2024,Active,67,998
U00309,19-08-2024,Premium,999,Canada,Mobile,03-12-2024,Active,89,22977
U00310,28-11-2025,Premium,999,Canada,Tablet,18-04-2026,Active,242,5994
U00311,02-05-2025,Basic,499,Australia,Mobile,15-07-2025,Active,87,4990
U00312,01-04-2024,Premium,999,Canada,Mobile,11-04-2024,Active,238,5994
U00313,07-02-2024,Enterprise,1999,Singapore,Laptop,13-06-2024,Active,52,47976
U00314,08-02-2024,Basic,499,UK,Laptop,07-03-2024,Active,242,5489
U00315,18-10-2025,Basic,499,Canada,Laptop,22-11-2025,Active,222,8483
U00316,16-07-2024,Premium,999,Australia,Mobile,11-11-2024,Active,170,8991
U00317,15-01-2024,Premium,999,USA,Tablet,09-06-2024,Churned,177,6993
U00318,16-10-2025,Premium,999,Canada,Tablet,25-02-2026,Churned,88,2997
U00319,07-04-2024,Basic,499,India,Laptop,29-06-2024,Active,244,3992
U00320,27-01-2025,Basic,499,Australia,Tablet,22-04-2025,Active,82,9481
U00321,12-01-2024,Basic,499,India,Laptop,13-03-2024,Active,20,10978
U00322,10-11-2024,Basic,499,Australia,Laptop,29-01-2025,Active,181,1996
U00323,11-01-2025,Premium,999,Canada,Tablet,15-02-2025,Active,127,4995
U00324,12-09-2025,Basic,499,Singapore,Tablet,11-01-2026,Active,198,8982
U00325,11-08-2024,Premium,999,Germany,Laptop,11-01-2025,Active,228,2997
U00326,24-06-2025,Premium,999,Singapore,Tablet,16-11-2025,Active,33,1998
U00327,01-06-2025,Basic,499,Canada,Mobile,14-07-2025,Active,88,8483
U00328,27-11-2025,Basic,499,Canada,Mobile,21-12-2025,Active,235,8483
U00329,09-04-2025,Basic,499,Canada,Tablet,01-09-2025,Active,19,8982
U00330,11-11-2024,Premium,999,Germany,Mobile,12-11-2024,Active,195,6993
U00331,16-02-2024,Basic,499,Canada,Mobile,04-07-2024,Active,20,1497
U00332,20-10-2024,Basic,499,Canada,Laptop,03-04-2025,Active,191,10479
U00333,26-01-2025,Basic,499,Australia,Tablet,03-05-2025,Churned,101,1497
U00334,06-07-2025,Basic,499,Canada,Tablet,06-08-2025,Churned,50,8982
U00335,10-05-2024,Premium,999,UK,Laptop,11-05-2024,Active,198,999
U00336,20-11-2025,Premium,999,USA,Laptop,26-02-2026,Active,215,7992
U00337,20-12-2024,Basic,499,Canada,Tablet,18-01-2025,Active,13,10978
U00338,17-01-2024,Basic,499,Germany,Tablet,18-06-2024,Active,13,7485
